15364;Quedlinburg, Landkreis;-;-;-;-;-;-
15367;Sch�nebeck, Landkreis;-;-;-;-;-;-
15369;Wernigerode, Landkreis;-;-;-;-;-;-
15370;Altmarkkreis Salzwedel;-;-;-;-;-;-
16051;Erfurt, Stadt;5;7;25;13;9;16
16052;Gera, Stadt;2;3;5;2;3;3
16053;Jena, Stadt;15;14;15;12;8;4
16054;Suhl, Stadt;2;3;-;2;-;1
16055;Weimar, Stadt;4;6;2;1;6;8
16056;Eisenach, Stadt;-;-;1;3;-;2
16061;Eichsfeld, Landkreis;-;2;-;1;1;2
16062;Nordhausen, Landkreis;1;2;1;9;3;1
16063;Wartburgkreis;1;3;-;3;1;2
16064;Unstrut-Hainich-Kreis;1;1;6;-;1;2
16065;Kyffh�userkreis;-;1;1;1;1;-
16066;Schmalkalden-Meiningen, Landkreis;3;5;1;10;6;3
16067;Gotha, Landkreis;-;1;4;1;5;2
16068;S�mmerda, Landkreis;3;3;2;-;-;2
16069;Hildburghausen, Landkreis;6;1;2;-;2;2
16070;Ilm-Kreis;5;3;6;3;10;1
16071;Weimarer Land, Landkreis;1;2;2;-;1;2
16072;Sonneberg, Landkreis;8;2;3;-;-;5
16073;Saalfeld-Rudolstadt, Landkreis;8;2;5;3;4;2
16074;Saale-Holzland-Kreis;1;1;-;2;4;3
16075;Saale-Orla-Kreis;1;1;1;-;4;4
16076;Greiz, Landkreis;4;7;3;5;1;2
16077;Altenburger Land, Landkreis;-;7;1;1;-;1
